Country,HIV_Cases,AIDS_Deaths,Adult_Cases_15_49
Afghanistan,3975.0,366.6666666666667,0.1
Algeria,7175.0,166.66666666666666,0.1
Angola,196750.0,9600.0,1.525
Argentina,99750.0,1566.6666666666667,0.35
Armenia,2612.5,166.66666666666666,0.15000000000000002
Australia,19500.0,400.0,0.1
Bahamas,5500.0,300.0,2.225
Bangladesh,6660.0,393.3333333333333,0.1
Barbados,2025.0,100.0,1.125
Belarus,11450.0,266.6666666666667,0.225
Belize,3275.0,166.66666666666666,1.7
Benin,59250.0,2200.0,1.175
Bhutan,1057.5,100.0,0.275
Bolivia (Plurinational State of),23000.0,980.0,0.425
Bosnia and Herzegovina,250.0,100.0,0.1
Botswana,325000.0,9033.333333333334,23.6
Brazil,632500.0,15000.0,0.475
Bulgaria,1670.0,100.0,0.1
Burkina Faso,116500.0,6700.0,1.375
Burundi,103750.0,6033.333333333333,2.025
Cabo Verde,1975.0,133.33333333333334,0.625
Cambodia,78750.0,2766.6666666666665,0.875
Cameroon,475000.0,19666.666666666668,4.375
Central African Republic,140000.0,7866.666666666667,5.425
Chad,96750.0,4066.6666666666665,1.525
Chile,37250.0,590.0,0.325
Comoros,150.0,100.0,0.1
Congo,82000.0,4666.666666666667,3.35
Costa Rica,8775.0,500.0,0.275
Croatia,952.5,100.0,0.1
Cuba,15275.0,400.0,0.2
Czechia,1920.0,100.0,0.1
C̫te d'Ivoire,510000.0,28000.0,4.05
Democratic Republic of the Congo,495000.0,30000.0,1.275
Denmark,5150.0,100.0,0.1
Djibouti,9650.0,543.3333333333334,1.7750000000000001
Dominican Republic,76500.0,3000.0,1.2999999999999998
Ecuador,33250.0,1073.3333333333333,0.4
Egypt,8375.0,266.6666666666667,0.1
El Salvador,23000.0,670.0,0.6499999999999999
Equatorial Guinea,33000.0,1293.3333333333333,5.225
Eritrea,17000.0,740.0,1.05
Estonia,5550.0,133.33333333333334,0.675
Eswatini,152500.0,3733.3333333333335,26.4
Ethiopia,677500.0,29666.666666666668,1.6
Finland,2425.0,100.0,0.1
France,128000.0,660.0,0.275
Gabon,39750.0,1466.6666666666667,4.05
Gambia,17225.0,816.6666666666666,1.75
Georgia,4695.0,233.33333333333334,0.2
Germany,64250.0,626.6666666666666,0.1
Ghana,295000.0,16333.333333333334,2.025
Guatemala,47000.0,2100.0,0.6
Guinea,99000.0,4466.666666666667,1.6
Guinea-Bissau,33750.0,1600.0,3.575
Guyana,5550.0,133.33333333333334,1.2
Haiti,147500.0,6533.333333333333,2.375
Honduras,30000.0,1793.3333333333333,0.65
Hungary,1932.5,100.0,0.1
Iceland,325.0,100.0,0.1
Indonesia,380000.0,21300.0,0.275
Iran (Islamic Republic of),41000.0,1833.3333333333333,0.1
Ireland,4275.0,100.0,0.15000000000000002
Israel,5450.0,100.0,0.125
Italy,99250.0,913.3333333333334,0.25
Jamaica,39000.0,1900.0,2.275
Jordan,250.0,100.0,0.1
Kazakhstan,10525.0,366.6666666666667,0.125
Kenya,1575000.0,67000.0,6.95
Kuwait,460.0,100.0,0.1
Kyrgyzstan,3702.5,166.66666666666666,0.125
Lao People's Democratic Republic,7700.0,366.6666666666667,0.225
Latvia,3700.0,133.33333333333334,0.3
Lebanon,1577.5,100.0,0.1
Lesotho,295000.0,8433.333333333334,23.675
Liberia,41000.0,2500.0,1.925
Libya,4787.5,133.33333333333334,0.15000000000000002
Luxembourg,725.0,100.0,0.2
Madagascar,23000.0,1200.0,0.225
Malawi,875000.0,33000.0,11.6
Malaysia,70500.0,2733.3333333333335,0.4
Mali,122500.0,6500.0,1.525
Mauritania,6425.0,500.0,0.375
Mauritius,8800.0,403.3333333333333,1.0
Mongolia,425.0,100.0,0.1
Montenegro,225.0,100.0,0.1
Morocco,15175.0,516.6666666666666,0.1
Mozambique,1460000.0,52666.666666666664,11.125
Myanmar,205000.0,8200.0,0.75
Namibia,167500.0,4500.0,13.25
Nepal,26500.0,936.6666666666666,0.15000000000000002
Netherlands,15666.666666666666,200.0,0.16666666666666666
New Zealand,2300.0,100.0,0.1
Nicaragua,6750.0,266.6666666666667,0.17500000000000002
Niger,37500.0,1733.3333333333333,0.475
Nigeria,1525000.0,67666.66666666667,1.65
Norway,3725.0,100.0,0.1
Oman,2100.0,100.0,0.125
Pakistan,59875.0,2633.3333333333335,0.1
Panama,18250.0,500.0,0.775
Paraguay,18500.0,670.0,0.525
Peru,70000.0,2733.3333333333335,0.375
Philippines,24175.0,600.0,0.1
Portugal,37500.0,843.3333333333334,0.55
Republic of Moldova,13750.0,603.3333333333334,0.45
Republic of North Macedonia,225.0,100.0,0.1
Romania,12625.0,300.0,0.1
Rwanda,225000.0,8866.666666666666,3.7
Senegal,40250.0,1433.3333333333333,0.575
Serbia,1725.0,133.33333333333334,0.1
Sierra Leone,54750.0,2466.6666666666665,1.5
Singapore,5350.0,100.0,0.2
Slovakia,600.0,100.0,0.1
Somalia,16000.0,973.3333333333334,0.3
South Africa,5525000.0,103666.66666666667,17.175
South Sudan,135000.0,8266.666666666666,2.475
Spain,125500.0,1550.0,0.375
Sri Lanka,3325.0,266.6666666666667,0.1
Sudan,36500.0,1816.6666666666667,0.17500000000000002
Suriname,4325.0,166.66666666666666,1.3
Syrian Arab Republic,557.5,100.0,0.1
Tajikistan,7200.0,366.6666666666667,0.15000000000000002
Thailand,607500.0,33000.0,1.55
Togo,101000.0,5033.333333333333,3.025
Tunisia,1335.0,100.0,0.1
Uganda,1175000.0,54666.666666666664,7.025
Ukraine,217500.0,7533.333333333333,0.85
United Republic of Tanzania,1300000.0,50666.666666666664,5.325
Uruguay,9300.0,400.0,0.45
Uzbekistan,29250.0,1313.3333333333333,0.125
Viet Nam,187500.0,6433.333333333333,0.325
Yemen,4900.0,266.6666666666667,0.1
Zambia,1002500.0,35000.0,13.65
Zimbabwe,1375000.0,65333.333333333336,18.025
